Instance,Result,Time,Best,Mono
ia-enron-only-sat,sat,2.57,No,No
ia-fb-messages,unknown,36000,No,No
ia-fb-messages-sat,unknown,36000,No,No
ia-infect-dublin,unknown,36000,No,No
ia-infect-dublin-sat,unknown,36000,No,No
ia-infect-hyper,unknown,36000,No,No
ia-infect-hyper-sat,sat,1.08,No,No
ia-reality,unknown,36000,No,No
ia-reality-sat,sat,0.28,No,No
ia-wiki-Talk,unknown,36000,No,No
ia-wiki-Talk-sat,unknown,36000,No,No
inf-power,unknown,36000,No,No
inf-power-sat,unknown,36000,No,No
inf-road-usa,unknown,36000,No,No
inf-road-usa-sat,unknown,36000,No,No
inf-roadNet-CA,unknown,36000,No,No
inf-roadNet-CA-sat,unknown,36000,No,No
inf-roadNet-PA,unknown,36000,No,No
inf-roadNet-PA-sat,unknown,36000,No,No
keller4,unknown,36000,No,No
keller5,unknown,36000,No,No
keller6,unknown,36000,No,No
p_hat1500-1,unknown,36000,No,No
p_hat1500-2,unknown,36000,No,No
p_hat1500-3,unknown,36000,No,No
p_hat300-1,unknown,36000,No,No
p_hat300-2,unknown,36000,No,No
p_hat300-3,unknown,36000,No,No
p_hat700-1,unknown,36000,No,No
p_hat700-2,unknown,36000,No,No
p_hat700-3,unknown,36000,No,No
rec-amazon,unknown,36000,No,No
rec-amazon-sat,unknown,36000,No,No
rt-retweet,unknown,36000,No,No
rt-retweet-crawl,unknown,36000,No,No
rt-retweet-crawl-sat,unknown,36000,No,No
rt-retweet-sat,sat,0.03,No,No
rt-twitter-copen,unknown,36000,No,No
rt-twitter-copen-sat,unknown,36000,No,No
sc-ldoor,unknown,36000,No,No
sc-ldoor-sat,unknown,36000,No,No
sc-msdoor,unknown,36000,No,No
sc-msdoor-sat,unknown,36000,No,No
sc-nasasrb,unknown,36000,No,No
sc-pkustk11,unknown,36000,No,No
sc-pkustk11-sat,unknown,36000,No,No
sc-pkustk13,unknown,36000,No,No
sc-pwtk,unknown,36000,No,No
sc-shipsec1,unknown,36000,No,No
sc-shipsec5,unknown,36000,No,No
scc_enron-only,unknown,36000,No,No
scc_enron-only-sat,sat,0.04,No,No
scc_fb-forum,unknown,36000,No,No
scc_fb-forum-sat,sat,1.94,No,No
scc_fb-messages,unknown,36000,No,No
scc_fb-messages-sat,sat,162.89,No,No
scc_infect-dublin,unknown,36000,No,No
scc_infect-dublin-sat,unknown,36000,No,No
scc_infect-hyper,unknown,36000,No,No
scc_infect-hyper-sat,sat,0.02,No,No
scc_reality,unknown,36000,No,No
scc_reality-sat,sat,57.21,No,No
scc_retweet,unknown,36000,No,No
scc_retweet-crawl,unknown,36000,No,No
scc_retweet-crawl-sat,unknown,36000,No,No
scc_retweet-sat,unknown,36000,No,No
scc_rt_alwefaq,unknown,36000,No,No
scc_rt_alwefaq-sat,sat,0.09,Yes,No
scc_rt_assad,unknown,36000,No,No
scc_rt_assad-sat,sat,0.02,No,No
scc_rt_bahrain,unknown,36000,No,No
scc_rt_bahrain-sat,sat,0.47,No,No
scc_rt_barackobama,unknown,36000,No,No
scc_rt_barackobama-sat,sat,0.56,No,No
scc_rt_damascus,unknown,36000,No,No
scc_rt_damascus-sat,sat,0.03,No,No
scc_rt_dash,unknown,36000,No,No
scc_rt_dash-sat,sat,0.26,No,No
scc_rt_gmanews,unknown,36000,No,No
scc_rt_gmanews-sat,sat,0.25,Yes,No
scc_rt_gop,unknown,36000,No,No
scc_rt_gop-sat,sat,0.03,No,No
scc_rt_http,unknown,36000,No,No
scc_rt_http-sat,sat,0.09,No,No
scc_rt_israel,unknown,36000,No,No
scc_rt_israel-sat,sat,0.03,Yes,No
scc_rt_justinbieber,unknown,36000,No,No
scc_rt_justinbieber-sat,sat,0.11,No,No
scc_rt_ksa,unknown,36000,No,No
scc_rt_ksa-sat,sat,0.05,No,No
scc_rt_lebanon,unknown,36000,No,No
scc_rt_lebanon-sat,sat,0.03,No,No
scc_rt_libya,unknown,36000,No,No
scc_rt_libya-sat,sat,0.05,No,No
scc_rt_lolgop,unknown,36000,No,No
scc_rt_lolgop-sat,sat,2.69,No,No
scc_rt_mittromney,unknown,36000,No,No
scc_rt_mittromney-sat,sat,1.06,No,No
scc_rt_obama,unknown,36000,No,No
scc_rt_obama-sat,sat,0.04,No,No
scc_rt_occupy,unknown,36000,No,No
scc_rt_occupy-sat,sat,0.14,No,No
scc_rt_occupywallstnyc,unknown,36000,No,No
scc_rt_occupywallstnyc-sat,sat,0.04,No,No
scc_rt_oman,unknown,36000,No,No
scc_rt_oman-sat,sat,0.05,No,No
scc_rt_onedirection,unknown,36000,No,No
scc_rt_onedirection-sat,sat,0.13,No,No
scc_rt_p2,unknown,36000,No,No
scc_rt_p2-sat,sat,0.04,No,No
scc_rt_qatif,unknown,36000,No,No
scc_rt_qatif-sat,sat,0.09,No,No
scc_rt_saudi,unknown,36000,No,No
scc_rt_saudi-sat,sat,0.09,No,No
scc_rt_tcot,unknown,36000,No,No
scc_rt_tcot-sat,sat,0.04,No,No
scc_rt_tlot,unknown,36000,No,No
scc_rt_tlot-sat,sat,0.04,No,No
scc_rt_uae,unknown,36000,No,No
scc_rt_uae-sat,sat,0.05,No,No
scc_rt_voteonedirection,unknown,36000,No,No
scc_rt_voteonedirection-sat,sat,0.02,No,No
scc_twitter-copen,unknown,36000,No,No
scc_twitter-copen-sat,unknown,36000,No,No
soc-BlogCatalog,unknown,36000,No,No
soc-BlogCatalog-sat,unknown,36000,No,No
soc-FourSquare,unknown,36000,No,No
soc-FourSquare-sat,unknown,36000,No,No
soc-LiveMocha,unknown,36000,No,No
soc-LiveMocha-sat,unknown,36000,No,No
soc-brightkite,unknown,36000,No,No
soc-brightkite-sat,unknown,36000,No,No
soc-buzznet,unknown,36000,No,No
soc-buzznet-sat,unknown,36000,No,No
soc-delicious,unknown,36000,No,No
soc-delicious-sat,unknown,36000,No,No
soc-digg,unknown,36000,No,No
soc-digg-sat,unknown,36000,No,No
soc-dolphins,unknown,36000,No,No
soc-dolphins-sat,sat,0.06,No,No
soc-douban,unknown,36000,No,No
soc-douban-sat,unknown,36000,No,No
soc-epinions,unknown,36000,No,No
soc-epinions-sat,unknown,36000,No,No
soc-flickr,unknown,36000,No,No
soc-flickr-sat,unknown,36000,No,No
soc-flixster,unknown,36000,No,No
soc-flixster-sat,unknown,36000,No,No
soc-gowalla,unknown,36000,No,No
soc-gowalla-sat,unknown,36000,No,No
soc-karate,unknown,36000,No,No
soc-karate-sat,sat,0.01,Yes,No
soc-lastfm,unknown,36000,No,No
soc-lastfm-sat,unknown,36000,No,No
soc-livejournal,unknown,36000,No,No
soc-livejournal-sat,unknown,36000,No,No
soc-orkut,unknown,36000,No,No
soc-pokec,unknown,36000,No,No
soc-slashdot,unknown,36000,No,No
soc-slashdot-sat,unknown,36000,No,No
soc-twitter-follows,unknown,36000,No,No
soc-twitter-follows-sat,unknown,36000,No,No
soc-wiki-Vote,unknown,36000,No,No
soc-wiki-Vote-sat,unknown,36000,No,No
soc-youtube,unknown,36000,No,No
soc-youtube-sat,unknown,36000,No,No
soc-youtube-snap,unknown,36000,No,No
soc-youtube-snap-sat,unknown,36000,No,No
socfb-A-anon,unknown,36000,No,No
socfb-A-anon-sat,unknown,36000,No,No
socfb-B-anon,unknown,36000,No,No
socfb-B-anon-sat,unknown,36000,No,No
socfb-Berkeley13,unknown,36000,No,No
socfb-CMU,unknown,36000,No,No
socfb-Duke14,unknown,36000,No,No
socfb-Indiana,unknown,36000,No,No
socfb-MIT,unknown,36000,No,No
socfb-OR,unknown,36000,No,No
socfb-Penn94,unknown,36000,No,No
socfb-Stanford3,unknown,36000,No,No
socfb-Texas84,unknown,36000,No,No
socfb-UCLA,unknown,36000,No,No
socfb-UCSB37,unknown,36000,No,No
socfb-UConn,unknown,36000,No,No
socfb-UF,unknown,36000,No,No
socfb-UIllinois,unknown,36000,No,No
socfb-Wisconsin87,unknown,36000,No,No
socfb-uci-uni,unknown,36000,No,No
socfb-uci-uni-sat,unknown,36000,No,No
tech-RL-caida,unknown,36000,No,No
tech-RL-caida-sat,unknown,36000,No,No
tech-WHOIS,unknown,36000,No,No
tech-WHOIS-sat,unknown,36000,No,No
tech-as-caida2007,unknown,36000,No,No
tech-as-caida2007-sat,unknown,36000,No,No
tech-as-skitter,unknown,36000,No,No
tech-as-skitter-sat,unknown,36000,No,No
tech-internet-as,unknown,36000,No,No
tech-internet-as-sat,unknown,36000,No,No
tech-p2p-gnutella,unknown,36000,No,No
tech-p2p-gnutella-sat,unknown,36000,No,No
tech-routers-rf,unknown,36000,No,No
tech-routers-rf-sat,unknown,36000,No,No
web-BerkStan,unknown,36000,No,No
web-BerkStan-sat,unknown,36000,No,No
web-arabic-2005,unknown,36000,No,No
web-arabic-2005-sat,unknown,36000,No,No
web-edu,unknown,36000,No,No
web-edu-sat,sat,2.39,No,No
web-google,unknown,36000,No,No
web-google-sat,unknown,36000,No,No
web-indochina-2004,unknown,36000,No,No
web-indochina-2004-sat,unknown,36000,No,No
web-it-2004,unknown,36000,No,No
web-it-2004-sat,unknown,36000,No,No
web-polblogs,unknown,36000,No,No
web-polblogs-sat,unknown,36000,No,No
web-sk-2005,unknown,36000,No,No
web-sk-2005-sat,unknown,36000,No,No
web-spam,unknown,36000,No,No
web-spam-sat,unknown,36000,No,No
web-uk-2005,unknown,36000,No,No
web-uk-2005-sat,unknown,36000,No,No
web-webbase-2001,unknown,36000,No,No
web-webbase-2001-sat,unknown,36000,No,No
web-wikipedia2009,unknown,36000,No,No
web-wikipedia2009-sat,unknown,36000,No,No
